speciesId,species_legacy_id,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution,validSpeciesId,taxonStatus
26490,19866,urn:lsid:nmbe.ch:spidersp:043112,Lycosidae,Kangarosa,ossea,,Framenau,2010,0,"Australia (Queensland)",,VALID
26491,19867,urn:lsid:nmbe.ch:spidersp:043113,Lycosidae,Kangarosa,pandura,,Framenau,2010,0,"Australia (New South Wales, Australian Capital Territory, Victoria)",,VALID
26492,19868,urn:lsid:nmbe.ch:spidersp:018371,Lycosidae,Kangarosa,properipes,,Simon,1909,1,"Australia (Western Australia)",,VALID
26493,19869,urn:lsid:nmbe.ch:spidersp:043114,Lycosidae,Kangarosa,tasmaniensis,,Framenau,2010,0,"Australia (Tasmania)",,VALID
26494,19870,urn:lsid:nmbe.ch:spidersp:019360,Lycosidae,Kangarosa,tristicula,,"L. Koch",1877,1,"Australia (Queensland, New South Wales)",,VALID
26495,19871,urn:lsid:nmbe.ch:spidersp:043115,Lycosidae,Kangarosa,yannicki,,Framenau,2010,0,"Australia (New South Wales)",,VALID
26496,19872,urn:lsid:nmbe.ch:spidersp:044425,Lycosidae,Katableps,masoala,,"Jocqué, Russell-Smith & Alderweireldt",2011,0,Madagascar,,VALID
26497,19873,urn:lsid:nmbe.ch:spidersp:044424,Lycosidae,Katableps,perinet,,"Jocqué, Russell-Smith & Alderweireldt",2011,0,Madagascar,,VALID
26498,19874,urn:lsid:nmbe.ch:spidersp:044423,Lycosidae,Katableps,pudicus,,"Jocqué, Russell-Smith & Alderweireldt",2011,0,Madagascar,,VALID
26499,19875,urn:lsid:nmbe.ch:spidersp:018219,Lycosidae,Knoelle,clara,,"L. Koch",1877,1,Australia,,VALID
26500,19876,urn:lsid:nmbe.ch:spidersp:019033,Lycosidae,Lobizon,corondaensis,,Mello-Leitão,1941,1,Argentina,,VALID
26501,19877,urn:lsid:nmbe.ch:spidersp:017427,Lycosidae,Lobizon,humilis,,Mello-Leitão,1944,1,Argentina,,VALID
26502,19878,urn:lsid:nmbe.ch:spidersp:019373,Lycosidae,Lobizon,minor,,Mello-Leitão,1941,1,Argentina,,VALID
26503,19879,urn:lsid:nmbe.ch:spidersp:042578,Lycosidae,Lobizon,ojangureni,,"Piacentini & Grismado",2009,0,Argentina,,VALID
26504,19880,urn:lsid:nmbe.ch:spidersp:042579,Lycosidae,Lobizon,otamendi,,"Piacentini & Grismado",2009,0,Argentina,,VALID
26505,19881,urn:lsid:nmbe.ch:spidersp:018169,Lycosidae,Trochosa,austrocaspia,,Roewer,1955,1,Iran,27627,SYNONYM
26506,19882,urn:lsid:nmbe.ch:spidersp:018170,Lycosidae,Loculla,massaica,,Roewer,1960,0,Tanzania,,VALID
26507,19883,urn:lsid:nmbe.ch:spidersp:018171,Lycosidae,Loculla,rauca,,Simon,1909,0,"São Tomé and Príncipe",,VALID
26508,19884,urn:lsid:nmbe.ch:spidersp:018172,Lycosidae,Loculla,rauca,minor,Simon,1909,0,"São Tomé and Príncipe",,VALID
26509,19885,urn:lsid:nmbe.ch:spidersp:018173,Lycosidae,Loculla,senzea,,Roewer,1960,0,Congo,,VALID
26510,19886,urn:lsid:nmbe.ch:spidersp:018174,Lycosidae,Lycosa,abnormis,,Guy,1966,0,Morocco,,VALID
26511,19887,urn:lsid:nmbe.ch:spidersp:018175,Lycosidae,Lycosa,accurata,,Becker,1886,1,Mexico,,VALID
26512,19888,urn:lsid:nmbe.ch:spidersp:018176,Lycosidae,Lycosa,adusta,,Banks,1898,0,Mexico,,VALID
26513,19889,urn:lsid:nmbe.ch:spidersp:018177,Lycosidae,Lycosa,affinis,,Lucas,1846,0,Algeria,,VALID
26515,19891,urn:lsid:nmbe.ch:spidersp:018184,Lycosidae,Lycosa,apacha,,Chamberlin,1925,0,USA,,VALID
26516,19892,urn:lsid:nmbe.ch:spidersp:018185,Lycosidae,Lycosa,approximata,,"O. Pickard-Cambridge",1885,1,"China (Yarkand)",,VALID
26517,19893,urn:lsid:nmbe.ch:spidersp:018186,Lycosidae,Lycosa,arambagensis,,"B. Biswas & K. Biswas",1992,0,India,,VALID
26518,19894,urn:lsid:nmbe.ch:spidersp:018189,Lycosidae,Lycosa,ariadnae,,McKay,1979,0,"Australia (Western Australia)",,VALID
26519,19895,urn:lsid:nmbe.ch:spidersp:018190,Lycosidae,Lycosa,articulata,,Costa,1875,0,Israel,,VALID
26520,19896,urn:lsid:nmbe.ch:spidersp:018191,Lycosidae,Diapontia,artigasi,,Casanueva,1980,1,Chile,26829,SYNONYM
